Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Function,"Store::showClientInfo(int)",,,,1,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,1,16,2,0,0,0,0,0,1,0,7,1,1,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"Store::toString()",,,,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,2,8,1,0,0,0,0,1,1,0,6,2,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,"Transaction",0,4,0,3,42,3,1,1,1,1,5,0,4,0,0,1,0,,0,0,,,,,6,2,2,0,0,6,6,2,0,0,0,6,,46,3,42,7,6,3,0,0,,,,,19,13,1,5,,,,,,1,1,1,1,,0,0,,58,0.07,6,6,6,6
Public Function,"Transaction::Transaction(unsigned int,Date &,int)",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,3,0,0,0,4,1,0,3,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"Transaction::compareTo(const Transaction &)",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Const Function,"Transaction::getClientId()",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"Transaction::getDate()",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Const Function,"Transaction::getProducts()",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"Transaction::toString()",,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,2,12,2,0,0,0,0,1,1,0,9,3,2,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
File,"store-cpp\Client.cpp",0,4,0,8,20,0,1,1,1,1,4,0,4,0,,,,0,,,,,,5,,,,,,,,,,,,,,28,8,19,6,5,0,0,1,,,,8,11,6,0,5,,,,,,1,1,1,1,,,0,,,0.00,5,5,5,5
File,"store-cpp\Client.h",0,0,0,3,17,0,0,0,0,0,0,0,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,20,3,12,0,0,0,0,5,,,,9,15,14,0,1,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
File,"store-cpp\Date.cpp",0,4,0,16,50,1,1,1,2,1,5,0,4,0,,,,0,,,,,,11,,,,,,,,,,,,,,67,16,49,12,21,1,0,1,,,,18,32,12,1,19,,,,,,6,6,6,6,,,3,,,0.02,16,16,18,16
File,"store-cpp\Date.h",0,0,0,4,22,0,0,0,0,0,0,0,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,26,4,19,0,0,0,0,3,,,,16,23,22,0,1,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
File,"store-cpp\Person.cpp",0,3,0,5,18,0,1,1,1,1,3,0,3,0,,,,0,,,,,,5,,,,,,,,,,,,,,23,5,17,5,2,0,0,1,,,,6,7,5,0,2,,,,,,1,1,1,1,,,0,,,0.00,5,5,5,5
File,"store-cpp\Person.h",0,0,0,3,13,0,0,0,0,0,0,0,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,16,3,12,0,0,0,0,1,,,,9,12,12,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
File,"store-cpp\Product.cpp",0,3,0,5,14,0,1,1,1,1,4,0,3,0,,,,0,,,,,,4,,,,,,,,,,,,,,19,5,13,4,2,0,0,1,,,,5,6,4,0,2,,,,,,1,1,1,1,,,0,,,0.00,4,4,4,4
File,"store-cpp\Product.h",0,0,0,3,12,1,0,0,0,0,0,0,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,15,3,11,0,0,1,0,1,,,,8,12,12,0,0,,,,,,0,0,0,0,,,0,,,0.09,0,0,0,0
File,"store-cpp\Store.cpp",3,17,0,45,167,83,1,1,1,1,20,3,17,0,,,,0,,,,,,10,,,,,,,,,,,,,,295,45,166,29,12,83,0,1,,,,76,40,29,1,10,,,,,,3,3,3,3,,,1,,,0.50,14,14,14,12
File,"store-cpp\Store.h",0,0,0,7,26,12,0,0,0,0,0,0,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,41,7,20,0,0,12,0,6,,,,17,23,22,0,1,,,,,,0,0,0,0,,,0,,,0.60,0,0,0,0
File,"store-cpp\Transaction.cpp",0,5,0,8,30,0,1,1,1,1,5,0,5,0,,,,0,,,,,,6,,,,,,,,,,,,,,38,8,29,7,6,0,0,1,,,,16,14,8,1,5,,,,,,1,1,1,1,,,0,,,0.00,6,6,6,6
File,"store-cpp\Transaction.h",0,0,0,3,19,3,0,0,0,0,0,0,0,0,,,,1,,,,,,0,,,,,,,,,,,,,,23,3,14,0,0,3,0,5,,,,11,14,13,0,1,,,,,,0,0,0,0,,,0,,,0.21,0,0,0,0
